15	10	E	-9021144.568902541	200
emissionprobs	6	5	H3k36me3	0	0.9989165433769804
emissionprobs	6	5	H3k36me3	1	0.0010834566230196476
emissionprobs	6	6	H3k4me2	0	0.09244246184005463
emissionprobs	6	6	H3k4me2	1	0.9075575381599453
emissionprobs	6	7	H3k4me3	0	0.7287305261620068
emissionprobs	6	7	H3k4me3	1	0.27126947383799316
emissionprobs	6	8	H3k79me2	0	0.9843472427142692
emissionprobs	6	8	H3k79me2	1	0.015652757285730724
emissionprobs	6	9	H3k9ac	0	0.7803460502781423
emissionprobs	6	9	H3k9ac	1	0.21965394972185778
emissionprobs	7	0	H2az	0	0.8755329254557151
emissionprobs	7	0	H2az	1	0.12446707454428475
emissionprobs	7	1	H3k04me1	0	0.4079312837084216
emissionprobs	7	1	H3k04me1	1	0.5920687162915784
emissionprobs	7	2	H3k09me3	0	0.9835359567329977
emissionprobs	7	2	H3k09me3	1	0.016464043267002317
emissionprobs	7	3	H3k27ac	0	0.9997900088753975
emissionprobs	7	3	H3k27ac	1	2.099911246025007E-4
emissionprobs	7	4	H3k27me3	0	0.4410532399259348
emissionprobs	7	4	H3k27me3	1	0.5589467600740652
emissionprobs	7	5	H3k36me3	0	0.9991265749041608
emissionprobs	7	5	H3k36me3	1	8.734250958392756E-4
emissionprobs	7	6	H3k4me2	0	0.6221371680135739
emissionprobs	7	6	H3k4me2	1	0.37786283198642623
emissionprobs	7	7	H3k4me3	0	0.6564616414418212
emissionprobs	7	7	H3k4me3	1	0.34353835855817877
emissionprobs	7	8	H3k79me2	0	0.9951013243191745
emissionprobs	7	8	H3k79me2	1	0.004898675680825573
emissionprobs	7	9	H3k9ac	0	0.9469432925486863
emissionprobs	7	9	H3k9ac	1	0.05305670745131386
emissionprobs	8	0	H2az	0	0.9444015075738739
emissionprobs	8	0	H2az	1	0.05559849242612623
emissionprobs	8	1	H3k04me1	0	0.2394742147844217
emissionprobs	8	1	H3k04me1	1	0.7605257852155783
emissionprobs	8	2	H3k09me3	0	0.994310576105486
emissionprobs	8	2	H3k09me3	1	0.005689423894513948
emissionprobs	8	3	H3k27ac	0	0.9781644715341467
emissionprobs	8	3	H3k27ac	1	0.021835528465853352
emissionprobs	8	4	H3k27me3	0	0.9872469907011211
emissionprobs	8	4	H3k27me3	1	0.012753009298878853
emissionprobs	8	5	H3k36me3	0	0.9840189070140415
emissionprobs	8	5	H3k36me3	1	0.015981092985958564
emissionprobs	8	6	H3k4me2	0	0.9635291058157903
emissionprobs	8	6	H3k4me2	1	0.0364708941842097
emissionprobs	8	7	H3k4me3	0	0.9967748689833096
emissionprobs	8	7	H3k4me3	1	0.003225131016690326
emissionprobs	8	8	H3k79me2	0	0.9887675347289555
emissionprobs	8	8	H3k79me2	1	0.011232465271044574
emissionprobs	8	9	H3k9ac	0	0.9835636680275021
emissionprobs	8	9	H3k9ac	1	0.016436331972498004
emissionprobs	9	0	H2az	0	0.8247070963964416
emissionprobs	9	0	H2az	1	0.17529290360355843
emissionprobs	9	1	H3k04me1	0	0.0523841169718179
emissionprobs	9	1	H3k04me1	1	0.9476158830281821
emissionprobs	9	2	H3k09me3	0	0.9907179050011827
emissionprobs	9	2	H3k09me3	1	0.009282094998817231
emissionprobs	9	3	H3k27ac	0	0.1264992502534608
emissionprobs	9	3	H3k27ac	1	0.8735007497465391
emissionprobs	9	4	H3k27me3	0	0.9947110037496356
emissionprobs	9	4	H3k27me3	1	0.0052889962503643966
emissionprobs	9	5	H3k36me3	0	0.9652891649026429
emissionprobs	9	5	H3k36me3	1	0.03471083509735712
emissionprobs	9	6	H3k4me2	0	0.38533001532480576
emissionprobs	9	6	H3k4me2	1	0.6146699846751942
emissionprobs	9	7	H3k4me3	0	0.9079903689565781
emissionprobs	9	7	H3k4me3	1	0.09200963104342183
emissionprobs	9	8	H3k79me2	0	0.9349801285572802
emissionprobs	9	8	H3k79me2	1	0.06501987144271971
emissionprobs	9	9	H3k9ac	0	0.5145666417204245
emissionprobs	9	9	H3k9ac	1	0.48543335827957546
emissionprobs	10	0	H2az	0	0.6259143714489115
emissionprobs	10	0	H2az	1	0.3740856285510885
emissionprobs	10	1	H3k04me1	0	0.6189373452054908
emissionprobs	10	1	H3k04me1	1	0.3810626547945091
emissionprobs	10	2	H3k09me3	0	0.997905885762425
emissionprobs	10	2	H3k09me3	1	0.0020941142375749634
emissionprobs	10	3	H3k27ac	0	0.5066162075414182
emissionprobs	10	3	H3k27ac	1	0.4933837924585819
emissionprobs	10	4	H3k27me3	0	0.7304020197846174
emissionprobs	10	4	H3k27me3	1	0.2695979802153826
emissionprobs	10	5	H3k36me3	0	0.9995243109826404
emissionprobs	10	5	H3k36me3	1	4.7568901735967056E-4
emissionprobs	10	6	H3k4me2	0	0.06386957655226262
emissionprobs	10	6	H3k4me2	1	0.9361304234477373
emissionprobs	10	7	H3k4me3	0	0.03522289052643627
emissionprobs	10	7	H3k4me3	1	0.9647771094735638
emissionprobs	10	8	H3k79me2	0	0.9665977116040472
emissionprobs	10	8	H3k79me2	1	0.033402288395952766
emissionprobs	10	9	H3k9ac	0	0.11003655083445477
emissionprobs	10	9	H3k9ac	1	0.8899634491655452
emissionprobs	11	0	H2az	0	0.7203695225911408
emissionprobs	11	0	H2az	1	0.27963047740885916
emissionprobs	11	1	H3k04me1	0	0.7880459734746327
